station1,station2,line,station1name,station2name,station1rating,station2rating
11,94,8,0,0,0,0
11,104,8,0,0,0,0
14,92,8,0,0,0,0
14,167,8,0,0,0,0
46,50,8,0,0,0,0
46,53,8,0,0,0,0
53,214,8,0,0,0,0
62,168,8,0,0,0,0
62,280,8,0,0,0,0
75,210,8,0,0,0,0
75,222,8,0,0,0,0
90,104,8,0,0,0,0
90,145,8,0,0,0,0
92,145,8,0,0,0,0
94,282,8,0,0,0,0
115,178,8,0,0,0,0
115,184,8,0,0,0,0
115,291,8,0,0,0,0
125,134,8,0,0,0,0
125,271,8,0,0,0,0
134,220,8,0,0,0,0
156,167,8,0,0,0,0
168,179,8,0,0,0,0
168,214,8,0,0,0,0
178,202,8,0,0,0,0
179,180,8,0,0,0,0
180,199,8,0,0,0,0
184,199,8,0,0,0,0
202,282,8,0,0,0,0
210,291,8,0,0,0,0
220,222,8,0,0,0,0
7,145,9,0,0,0,0
7,188,9,0,0,0,0
8,124,9,0,0,0,0
8,264,9,0,0,0,0
12,56,9,0,0,0,0
12,257,9,0,0,0,0
13,157,9,0,0,0,0
13,167,9,0,0,0,0
22,47,9,0,0,0,0
22,111,9,0,0,0,0
29,84,9,0,0,0,0
29,157,9,0,0,0,0
34,100,9,0,0,0,0
34,119,9,0,0,0,0
38,58,9,0,0,0,0
38,81,9,0,0,0,0
40,47,9,0,0,0,0
40,89,9,0,0,0,0
40,139,9,0,0,0,0
40,170,9,0,0,0,0
49,87,9,0,0,0,0
49,151,9,0,0,0,0
54,55,9,0,0,0,0
54,56,9,0,0,0,0
55,245,9,0,0,0,0
58,119,9,0,0,0,0
59,240,9,0,0,0,0
59,258,9,0,0,0,0
77,93,9,0,0,0,0
77,124,9,0,0,0,0
84,136,9,0,0,0,0
87,279,9,0,0,0,0
89,145,9,0,0,0,0
89,170,9,0,0,0,0
89,277,9,0,0,0,0
93,165,9,0,0,0,0
93,288,9,0,0,0,0
100,111,9,0,0,0,0
102,259,9,0,0,0,0
102,277,9,0,0,0,0
121,261,9,0,0,0,0
136,191,9,0,0,0,0
136,279,9,0,0,0,0
139,264,9,0,0,0,0
151,259,9,0,0,0,0
167,188,9,0,0,0,0
169,240,9,0,0,0,0
191,245,9,0,0,0,0
257,258,9,0,0,0,0
261,302,9,0,0,0,0
288,302,9,0,0,0,0
1,73,10,0,0,0,0
1,234,10,0,0,0,0
1,265,10,0,0,0,0
5,194,10,0,0,0,0
5,252,10,0,0,0,0
9,31,10,0,0,0,0
9,232,10,0,0,0,0
10,95,10,0,0,0,0
10,128,10,0,0,0,0
17,74,10,0,0,0,0
17,110,10,0,0,0,0
30,176,10,0,0,0,0
30,190,10,0,0,0,0
31,303,10,0,0,0,0
39,128,10,0,0,0,0
39,145,10,0,0,0,0
57,187,10,0,0,0,0
60,126,10,0,0,0,0
60,151,10,0,0,0,0
73,182,10,0,0,0,0
74,99,10,0,0,0,0
75,210,10,0,0,0,0
75,222,10,0,0,0,0
95,160,10,0,0,0,0
99,236,10,0,0,0,0
107,133,10,0,0,0,0
107,197,10,0,0,0,0
110,265,10,0,0,0,0
116,117,10,0,0,0,0
116,118,10,0,0,0,0
116,132,10,0,0,0,0
117,118,10,0,0,0,0
117,308,10,0,0,0,0
125,134,10,0,0,0,0
125,271,10,0,0,0,0
126,223,10,0,0,0,0
130,131,10,0,0,0,0
130,132,10,0,0,0,0
131,190,10,0,0,0,0
133,146,10,0,0,0,0
134,220,10,0,0,0,0
145,223,10,0,0,0,0
146,236,10,0,0,0,0
151,197,10,0,0,0,0
